time_start,time_end,model,launch_place,target,carrier,launched,destroyed,not_reach_goal
1/23/2025 4:00,1/23/2025 4:30,Ballistic Missiles,Voronezh oblast,Zaporizhzhia,Unknown,4,0,
1/20/2025 20:00,1/21/2025 9:00,Ballistic Missiles,Voronezh oblast,Ukraine,Unknown,4,0,
1/19/2025 19:00,1/20/2025 8:00,Ballistic Missiles,Kursk oblast,Sumy oblast,Unknown,1,0,
1/20/2025,1/20/2025,Reconnaissance UAVs,Unknown,south,Unknown,1,1,
1/16/2025 19:00,1/17/2025 9:00,Ballistic Missiles,Bryansk oblast and Voronezh oblast,Kyiv oblast,Unknown,4,2,
1/16/2025 19:00,1/17/2025 9:00,Ballistic Missiles,Rostov oblast,Ukraine,Unknown,2,0,
1/15/2025 6:00,1/15/2025 8:00,Cruise Missiles,Belgorod oblast,Ukraine,Unknown,4,4,
1/15/2025 6:00,1/15/2025 8:00,Cruise Missiles,Tula oblast,Ukraine,Tu-22M3,7,0,
1/15/2025 6:00,1/15/2025 8:00,Cruise Missiles,Volgograd oblast,Ukraine,Tu-95MS,27,23,
1/15/2025 6:00,1/15/2025 8:00,Cruise Missiles,Black Sea,Ukraine,Navi,4,3,
1/15/2025 6:00,1/15/2025 8:00,Ballistic Missiles,Belgorod oblast,Ukraine,Unknown,1,0,
1/15/2025,1/15/2025,Reconnaissance UAVs,Unknown,south,Unknown,2,2,
1/15/2025,1/15/2025,Reconnaissance UAVs,Unknown,south,Unknown,3,3,
1/15/2025,1/15/2025,Reconnaissance UAVs,Unknown,south,Unknown,1,1,
1/15/2025,1/15/2025,Loitering Munition (Kamikaze Drones),Unknown,south,Unknown,7,7,
1/14/2025,1/14/2025,Cruise Missiles,Unknown,Odesa oblast,Unknown,2,0,
1/14/2025,1/14/2025,Loitering Munition (Kamikaze Drones),Unknown,south,Unknown,2,2,
1/13/2025,1/13/2025,Reconnaissance UAVs,Unknown,south,Unknown,1,1,
1/12/2025,1/12/2025,Reconnaissance UAVs,Unknown,south,Unknown,3,3,
1/12/2025,1/12/2025,Reconnaissance UAVs,Unknown,south,Unknown,1,1,
1/12/2025,1/12/2025,Reconnaissance UAVs,Unknown,south,Unknown,1,1,
1/12/2025,1/12/2025,Loitering Munition (Kamikaze Drones),Unknown,south,Unknown,8,8,
1/12/2025,1/12/2025,Ballistic Missiles,Crimea,Kherson oblast,Unknown,1,1,
1/10/2025,1/10/2025,Reconnaissance UAVs,Unknown,south,Unknown,1,1,
1/9/2025 14:10,1/9/2025 14:10,Cruise Missiles,Unknown,Kryvyi Rih,Unknown,3,3,
1/9/2025,1/9/2025,Reconnaissance UAVs,Unknown,south,Unknown,1,1,
1/9/2025,1/9/2025,Reconnaissance UAVs,Unknown,south,Unknown,2,2,
1/9/2025,1/9/2025,Reconnaissance UAVs,Unknown,south,Unknown,1,1,
1/9/2025,1/9/2025,Reconnaissance UAVs,Unknown,south,Unknown,4,4,
1/9/2025,1/9/2025,Reconnaissance UAVs,Unknown,south,Unknown,1,1,
1/9/2025,1/9/2025,Loitering Munition (Kamikaze Drones),Unknown,south,Unknown,7,7,
1/9/2025,1/9/2025,Loitering Munition (Kamikaze Drones),Unknown,south,Unknown,1,1,
1/5/2025 18:00,1/6/2025 9:00,Cruise Missiles,south,Mykolaiv oblast,Unknown,2,2,
1/5/2025,1/5/2025,Reconnaissance UAVs,Unknown,south,Unknown,4,4,
1/5/2025,1/5/2025,Reconnaissance UAVs,Unknown,south,Unknown,1,1,
1/5/2025,1/5/2025,Reconnaissance UAVs,Unknown,south,Unknown,1,1,
1/5/2025,1/5/2025,Loitering Munition (Kamikaze Drones),Unknown,south,Unknown,10,10,
1/4/2025,1/4/2025,Reconnaissance UAVs,Unknown,south,Unknown,1,1,
1/4/2025,1/4/2025,Reconnaissance UAVs,Unknown,south,Unknown,2,2,
1/4/2025,1/4/2025,Reconnaissance UAVs,Unknown,south,Unknown,1,1,
1/4/2025,1/4/2025,Loitering Munition (Kamikaze Drones),Unknown,south,Unknown,7,7,
1/3/2025 12:00,1/3/2025 20:00,Cruise Missiles,Unknown,Dnipropetrovsk oblast,Unknown,3,3,
1/3/2025 12:00,1/3/2025 20:00,Ballistic Missiles,Unknown,Chernihiv oblast,Unknown,3,0,
1/3/2025 12:00,1/3/2025 20:00,Surface-to-Air Missiles (SAM),Unknown,Kursk oblast,Unknown,5,0,
1/2/2025,1/2/2025,Reconnaissance UAVs,Unknown,south,Unknown,1,1,
1/2/2025,1/2/2025,Reconnaissance UAVs,Unknown,south,Unknown,3,3,
1/1/2025,1/1/2025,Reconnaissance UAVs,Unknown,south,Unknown,3,3,
1/1/2025,1/1/2025,Reconnaissance UAVs,Unknown,south,Unknown,2,2,
12/30/2024 7:20,12/31/2024 8:20,Cruise Missiles,Belgorod oblast,Kyiv oblast and Sumy oblast,Unknown,6,5,
12/30/2024 7:20,12/31/2024 8:20,Hypersonic Missiles,Tula oblast,Kyiv oblast and Sumy oblast,MiG-31K,1,1,
12/30/2024 7:20,12/31/2024 8:20,Cruise Missiles,Tula oblast,Kyiv oblast and Sumy oblast,Tu-22M3,8,0,
12/31/2024 2:50,12/31/2024 3:40,Ballistic Missiles,Voronezh oblast,Kyiv oblast and Sumy oblast,Unknown,6,0,
12/31/2024,12/31/2024,Reconnaissance UAVs,Unknown,south,Unknown,3,3,
12/31/2024,12/31/2024,Cruise Missiles,Black Sea,Odesa oblast,Unknown,2,0,
12/31/2024,12/31/2024,Reconnaissance UAVs,Unknown,south,Unknown,2,2,
